"id","species","catch"
1652053,3,1000
1652054,2,125
1652055,5,2200
1652055,1,125
1652055,2,63
1652055,3,63
1652056,5,3400
1652056,1,500
1652056,3,125
1652056,6,63
1652057,5,2000
1652057,1,188
1652057,3,125
1652059,61,2050
1652060,1,63
1652060,61,1450
1652061,1,125
1652061,7,63
1652061,61,1725
1652062,5,4750
1652063,5,4950
1652064,5,5700
32890626,55,625
32890627,2,625
32890627,1,250
32890628,2,1250
32890628,3,625
32890628,1,625
32890628,55,63
32890629,2,250
32890629,1,250
32890629,55,125
32890630,2,625
32890630,3,250
32890630,1,875
32890630,55,625
32890631,2,1625
32890631,3,250
32890631,1,625
32890632,2,1125
32890632,1,1250
32890632,55,875
32890633,2,375
32890633,1,125
32890633,55,500
32890634,2,1125
32890634,1,375
32890635,2,625
32890635,55,125
32890636,2,1625
32890636,55,125
32890637,1,125
32890637,55,375
32890638,3,313
32890638,1,2125
32890638,55,125
32890651,1,125
32890651,5,50
32890652,1,375
32890652,2,375
32890652,55,1000
32890653,2,2500
32890654,1,125
32890654,2,1625
32890655,2,2500
32890655,5,400
32890656,1,250
32890656,2,2750
32890656,55,1875
32890657,1,250
32890657,2,2500
32890658,1,125
32890658,2,2250
32890658,55,250
32890659,1,375
32890659,2,2500
32890660,1,250
32890660,2,2250
32890661,1,125
32890661,2,5375
32890662,1,313
32890662,2,6563
32890663,1,125
32890663,2,5625
32890664,1,313
32890664,2,3125
32890665,1,313
32890665,2,2500
33030326,2,1000
33030326,1,2500
33030326,5,400
33030326,23,63
33030327,2,625
33030327,1,2500
33030327,5,200
33030327,23,125
33030328,2,1250
33030328,1,625
33030328,3,125
33030329,2,1000
33030329,1,625
33030329,5,400
33030329,3,125
33030330,2,500
33030330,1,750
33030331,2,375
33030331,5,200
33030332,2,625
33030332,5,100
33030333,2,1625
33030333,5,100
33030334,2,1500
33030334,5,100
33030334,3,125
33030335,2,250
33030335,5,200
33030336,2,625
33030336,5,100
33030337,2,125
33030337,5,200
33030338,2,1250
33030339,2,50
33030339,5,100
33030340,2,250
33030340,23,250
33030351,2,625
33030351,1,1250
33030352,2,625
33030352,1,1250
33030353,3,2500
33030354,2,1000
33030354,1,250
33030354,5,200
32890352,3,6875
32890352,55,188
32890353,3,1500
32890353,55,250
32890354,1,1500
32890354,3,1875
32890354,55,125
32890355,3,500
32890355,55,125
32890356,1,1250
32890356,3,500
32890356,55,125
32890357,2,625
32890357,3,125
32890357,55,125
32890358,1,625
32890358,3,250
32890358,55,250
32890359,1,500
32890359,3,63
32890359,55,63
32890360,1,250
32890360,3,38
32890360,55,500
32890361,55,63
32890362,1,500
32890362,2,1125
32890362,55,375
32890363,2,625
32890363,9,125
32890363,55,125
32890376,1,750
32890376,2,250
32890376,55,63
32890377,1,1125
32890377,55,375
32890378,1,2125
32890378,23,250
32890378,55,125
32890379,1,1500
32890379,23,250
32890379,55,313
32890380,1,2125
32890380,23,125
32890380,55,500
32890381,1,2500
32890381,2,500
32890381,55,375
32890382,1,2500
32890382,2,625
32890382,55,625
32890383,2,625
32890384,2,63
32890384,55,63
32890385,55,625
32890386,55,625
32890387,1,250
32890387,3,125
32890387,55,63
32890388,3,1375
32890388,55,25
32890426,55,250
32890427,1,250
32890428,1,125
32890429,3,125
32890429,2,3750
32890429,1,625
32890429,5,600
32890429,55,375
32890430,3,125
32890430,2,125
32890430,1,125
32890431,3,125
32890431,2,3375
32890431,1,375
32890431,5,400
32890431,55,500
32890432,2,250
32890432,1,125
32890433,2,875
32890433,1,188
32890433,5,600
32890433,55,250
32890434,2,1125
32890434,1,375
32890434,5,500
32890434,55,125
32890435,2,500
32890435,1,313
32890435,5,600
32890436,2,125
32890436,5,200
32890437,3,50
32890437,55,38
32890438,3,6875
32890438,1,250
32890438,55,250
32890439,3,3000
32890439,1,250
32890439,55,188
32890440,3,1875
32890440,1,250
32890440,55,250
32559063,1,125
32559064,1,1250
32559064,2,2125
32559064,5,300
32559065,1,1250
32559065,2,1625
32559065,5,250
32559076,1,2500
32559076,5,400
32559076,3,125
32559077,1,1250
32559077,2,1250
32559077,5,200
32559078,1,1250
32559078,2,1875
32559078,5,200
32559079,1,3750
32559079,2,2500
32559080,1,8750
32559080,2,3750
32559081,1,3125
32559081,2,625
32559082,1,125
32559083,1,1250
32559083,2,3750
32559083,5,400
32559084,1,3750
32559084,2,6250
32559084,5,200
32559085,1,3125
32559085,2,5000
32559085,5,300
32559101,5,100
32559102,5,1000
32559103,5,1500
32559104,5,2000
32559104,6,188
32559105,5,2000
32559106,5,1500
32559106,6,63
32559107,3,313
32559107,1,1125
32559107,2,1250
32559108,3,750
32559108,1,1250
32559108,2,1000
32559109,3,313
32559109,1,625
32559109,2,313
32559110,2,3750
32559111,5,50
32559111,3,563
32559111,1,563
32559111,2,8125
32559112,3,625
32559112,1,625
32559112,2,8125
32559113,3,313
32559113,1,313
32559113,2,6875
32559115,5,100
32559115,3,125
32559115,1,188
32559115,2,1250
32559126,1,250
32559126,2,7500
32559126,3,250
31565965,1,1875
31565976,1,1875
31565976,9,125
31565977,1,3750
31565977,22,125
31565978,1,2875
31565978,22,125
31565979,1,1250
31565980,1,2500
31565981,1,3750
31565982,1,1625
31565982,22,313
31565983,1,625
31565983,2,2500
31565984,1,1000
31565984,2,2750
31565985,1,375
31565985,2,2500
31565986,1,250
31565986,2,1875
31565987,1,625
31565988,22,625
31565989,1,1000
31565989,22,625
31565990,22,2500
31566001,22,2750
31566002,22,2500
31566003,22,1250
31566004,22,875
31566005,22,625
31566006,22,625
31566007,22,250
31566008,22,250
31566008,1,625
31566026,1,1250
31566026,2,125
31566027,1,2500
31566027,9,125
31566028,1,1250
31566028,2,250
31566028,9,250
31566029,1,625
31566029,9,125
31566030,1,625
31566030,2,125
31566030,9,125
31566031,1,2250
31566031,2,125
31566031,9,125
31566032,1,875
31566032,2,125
31566032,9,63
31566033,1,2500
32702651,1,1250
32702652,1,1250
32702653,1,2500
32702654,1,6250
32702655,1,1250
32702656,1,625
32702657,1,1875
32533660,1,750
32533660,3,150
32533660,55,75
32533661,1,1425
32533661,2,75
32533661,3,75
32533661,55,75
32533662,1,2175
32533662,2,225
32533662,3,150
32533662,55,150
32533663,1,1800
32533663,3,75
32533663,55,75
32533664,1,1125
32533664,2,150
32533665,1,3450
32533665,3,150
32533665,55,150
32533676,22,250
32533677,1,375
32533677,22,750
32533678,22,625
32533679,22,1500
32533680,5,3000
32533681,5,1000
32533682,5,5000
32533683,5,2000
32533684,5,3000
32906513,1,3750
32906514,1,3750
32906515,2,1875
32906515,1,625
32906526,2,3125
32906526,1,625
32906527,2,3125
32906527,1,625
32906528,2,3125
32906528,1,625
32906529,2,1875
32906530,2,3125
32906531,2,3125
32906532,2,3125
32906533,2,1250
32906534,2,625
32906535,2,625
32906536,2,1250
32906537,2,1875
32906538,2,2500
32906539,2,6250
32906539,1,625
32906540,2,250
32906540,1,3125
32906540,5,100
32906551,1,1500
32906551,2,250
32906551,5,100
32906553,1,1250
32906553,5,200
32906554,1,3125
32906554,5,500
32906555,1,2500
32906555,5,500
32906556,1,250
32906556,2,1250
32906556,5,200
32906557,2,2500
32906558,2,2500
32906559,5,500
32906559,22,1875
32906560,22,2500
32906561,5,500
32906561,22,2500
32906562,5,500
32906562,22,1875
32906563,5,200
32906563,22,1000
32906564,22,250
32906565,22,3125
32906576,22,2500
32906577,22,625
32906578,22,2500
32906578,5,500
32906579,22,625
32906579,5,500
32906580,22,1875
32906580,5,1500
32906581,22,1250
32906581,5,1000
32906582,22,1250
32906582,5,1000
32906583,1,8750
32906584,1,1250
32906584,2,7500
32906585,1,1250
32906585,2,5000
32906586,1,1250
32906586,2,6250
32906587,1,625
32906587,2,625
32906588,1,3750
32906588,2,1250
32906589,1,6250
32906589,2,1250
32906589,3,625
32906590,1,2500
32906590,2,1250
32906601,1,625
32906601,2,625
32906601,9,625
32906602,1,125
32906602,2,125
32906603,1,750
32906604,2,625
32906626,2,625
32906626,1,625
32906627,2,1250
32906627,1,250
32906629,2,625
32906629,1,2500
32906629,5,1000
32906630,1,15000
32906631,5,300
32906631,22,750
32906632,22,1875
32906633,22,2500
32906634,22,1250
32906635,22,2500
32906636,22,1250
32906637,22,1875
32906638,5,1500
32906638,22,1875
32906639,5,1000
32906639,22,1500
32906640,5,1300
32906640,22,3125
32906651,5,1500
32906651,22,625
32906652,5,500
32906652,22,1250
32906653,5,8000
32906653,22,2500
32906654,5,1000
32906654,22,3750
32906655,5,1800
32906655,22,375
32906656,5,1500
32906656,22,3125
32906657,5,2000
32906657,22,2500
32906658,5,4000
32906658,22,2500
32906659,5,2000
32906659,22,2500
32906660,5,1000
32906660,22,1250
32906661,5,100
32906662,5,1000
32906662,22,1250
32906663,5,1500
32906663,22,1875
32906664,22,2500
32906665,22,625
31566104,1,63
31566104,9,125
31566105,22,750
31566105,1,188
31566106,22,63
31566106,5,2200
31566107,5,2200
31566108,5,5000
31566110,5,2500
31566111,5,3300
31566112,5,2000
31566113,5,2400
31566114,5,3800
31566115,5,1000
31566126,2,625
31566126,1,250
31566127,2,1000
31566127,1,625
31566129,2,1000
31566129,1,375
31566129,5,100
31566129,9,125
31566130,2,125
31566130,1,375
31566130,5,250
31566131,2,750
31566131,1,125
31566131,5,250
31566132,2,938
31566132,1,813
31566132,5,2000
31566132,3,250
31566133,2,2500
31566133,1,438
31566133,5,300
31566133,9,63
31566134,2,5000
31566134,1,250
31566135,2,3750
31566135,1,625
31566135,5,1000
31566136,2,875
31566136,1,125
31566136,5,200
31566137,2,500
31566137,1,375
31566137,5,100
31566138,2,1000
31566138,1,125
31566138,5,100
31566139,2,1875
31566139,1,125
31566139,5,2500
31566139,3,375
31566140,2,625
31566151,2,1250
31566151,3,2500
31566151,1,188
31566151,5,100
31566151,6,63
31566152,1,250
31566152,3,7500
31566152,2,125
31566153,1,250
31566153,3,1250
31566153,2,250
31566153,5,50
31566154,1,375
31566154,3,625
31566154,2,188
31566154,5,50
31566155,1,188
31566155,3,1875
31566155,2,250
31566155,5,50
31566156,1,313
31566156,3,438
31566156,2,250
31566156,5,200
31566157,1,1750
31566157,3,625
31566157,2,63
31566157,5,50
31566158,1,813
31566158,3,250
31566158,2,63
32993226,1,125
32993226,2,50
32993226,5,1000
32993226,6,50
32993227,5,1500
32993228,5,2000
32993229,1,63
32993229,5,7000
32993230,1,63
32993230,5,3500
32993231,5,4000
32993233,1,1000
32993233,2,63
32993233,3,63
32993233,5,800
32993234,1,125
32993234,2,63
32993234,3,125
32993234,5,200
32993235,1,1000
32993235,2,250
32993235,3,875
32993235,5,4500
32993236,1,375
32993236,2,125
32993236,3,250
32993236,5,1000
32993237,1,63
32993237,3,63
32993237,5,1200
32993238,1,500
32993238,2,63
32993238,3,188
32993238,5,400
32993239,1,875
32993239,2,63
32993239,5,1500
32993240,1,250
32993240,2,125
32993240,3,38
32993240,5,200
32993251,1,125
32993251,5,500
32993252,1,63
32993252,2,63
32993252,3,63
32993252,5,200
32993277,5,3000
32993277,61,2000
32993278,61,2500
32993279,61,1000
32993280,5,500
32993281,61,2500
32993281,6,125
32561678,9,125
32561679,1,625
32561679,2,63
32561679,9,688
32561680,1,63
32561680,9,438
32561681,1,313
32561681,2,125
32561681,9,188
32561682,1,313
32561682,2,438
32561682,9,63
32561683,1,563
32561683,2,438
32561683,9,938
32561684,1,750
32561684,2,63
32561684,9,188
32561685,1,2125
32561685,9,125
32202576,2,1125
32202577,1,375
32202577,2,375
32202579,1,750
32202579,2,750
32202580,2,375
32202582,2,750
32202582,5,300
32202583,2,750
32202584,1,375
32202584,2,375
32202585,1,375
32202585,2,750
32202586,1,375
32202586,2,375
32202586,23,375
32202588,2,375
32202589,1,375
32202590,2,375
32202601,2,375
32202602,2,375
32202603,1,375
32202603,2,750
32202604,1,2250
32202604,2,375
32202604,5,300
32202605,1,1875
32202605,2,375
32202605,9,375
32202606,1,750
32202606,2,375
32202608,1,375
32202608,2,375
32202626,1,375
32202626,5,600
32202627,1,375
32202627,5,3000
32202628,1,375
32202628,5,900
32202629,5,2700
32202630,5,3600
32202631,5,2700
32202632,5,1200
32202633,5,2700
32202634,5,2100
32202635,5,3000
32202636,5,2400
32202637,5,3900
32202638,1,188
32202638,2,188
32202638,3,188
32202638,5,2100
32202638,55,375
32202651,5,1800
32202652,5,1500
32202653,5,2100
32202654,5,2400
32202655,5,1200
32202656,5,3300
32202657,5,1800
32202658,5,2400
32202658,55,375
32202659,5,3000
32202660,5,300
32202661,5,2100
32202662,5,2100
32202662,55,375
32202665,2,750
32202665,5,600
32202677,1,375
32202677,2,375
32202678,2,750
32202678,55,375
32202701,5,3300
32202701,55,375
32202702,5,600
32202703,5,1800
32202704,5,300
32202705,5,3900
32202706,5,600
32202707,5,1500
32202708,5,2700
32202708,55,375
32202709,5,2400
32202710,5,1500
32202711,5,1200
32202712,5,2400
32202713,5,1500
32202714,5,300
33116026,1,1000
33116027,1,875
33116028,1,2500
33065203,2,625
33065204,2,1000
33065205,2,1250
33065206,1,4375
33065207,1,1250
33065208,1,6250
33065209,1,3125
33065210,1,10000
33065211,1,6250
33065212,1,1875
33065213,1,1250
33065214,1,4375
33065215,1,2500
30955651,5,1500
30955652,5,5000
30955653,5,1500
30955654,5,1000
30955655,5,1000
30955656,5,2000
30955657,5,1000
30955658,5,4000
30955659,5,4000
30955660,5,2000
30955661,5,2000
30955662,5,2000
30955663,5,4000
30955676,5,500
30955677,5,2000
30955678,5,1000
30955679,5,3000
30955680,5,2000
30955681,5,4000
30955682,5,1000
30955683,5,4000
30955684,5,6000
30955685,5,3000
30955686,5,5000
30955687,5,3000
30955701,5,2000
30955702,5,6000
30955703,5,3000
30955704,5,1000
30955705,5,1000
30955706,5,5000
30955707,5,1000
30955708,5,5000
30955709,5,1500
30955710,5,4000
30955711,5,5000
30955712,5,3000
30955713,5,2000
30955714,5,4000
30955715,5,2000
30955726,5,1000
30955727,5,1000
30955728,5,2500
30955729,5,4000
30955730,5,3000
30955731,5,2000
30955732,5,1000
30955733,5,2000
30955734,5,1000
30955735,5,2000
30955736,5,4000
30955737,5,5000
30955738,5,3000
30955739,5,3000
30955740,5,7000
30955751,5,3000
30955752,5,4000
30955753,5,1500
30955754,5,2000
30955756,5,2000
30955776,61,1000
30955777,61,2000
30955778,61,1000
30955780,61,2500
30955781,61,2000
30955782,61,2000
30955783,61,4000
30955784,61,1000
30955785,61,2000
30955786,61,1000
30955787,61,500
30955788,61,2000
30955789,61,5000
30955801,61,1500
30955802,61,2500
30955803,61,500
30955804,61,2000
30955805,61,1000
30955806,61,1000
30955807,61,2000
30955808,61,2000
30955809,61,1000
30955811,61,1000
30955812,61,8000
30955813,61,2000
30955814,61,1500
30955815,61,3000
30955826,61,2000
30955827,61,2000
30955828,61,1000
30955829,61,4000
30955830,61,1000
30955831,61,3500
30955832,61,2000
30955833,61,2000
30955834,61,4000
30955835,61,3000
30955836,61,2000
30955837,61,5000
30955838,61,4000
30955839,61,6000
30955840,61,4000
30955851,61,3500
30955852,61,4500
30955853,61,2000
30955854,61,1000
30955855,61,2000
30955856,61,2000
30955857,61,2000
30955859,61,1000
30955860,61,2000
32991401,1,650
32991401,2,1050
32991401,3,50
32991401,5,360
32991402,1,700
32991402,2,1400
32991402,3,150
32991402,5,500
32991426,1,1050
32991426,2,600
32991426,5,40
32991427,1,550
32991427,2,250
32991427,5,160
32991428,1,450
32991428,2,1200
32991428,3,200
32991428,5,200
32991429,1,100
32991429,2,1000
32991429,3,1050
32991429,5,200
32991430,1,550
32991430,2,650
32991430,5,160
32991430,7,50
32991431,1,400
32991431,2,650
32991431,3,1000
32991431,5,200
32991431,6,50
32991431,7,50
32991432,1,400
32991432,2,1150
32991432,3,50
32991432,5,80
32991433,1,550
32991433,2,1200
32991433,3,50
32991433,5,40
32991434,1,350
32991434,2,150
32991434,3,50
32991434,5,80
32991434,7,50
32991435,1,50
32991435,2,250
32991435,3,50
32991435,5,40
32991436,1,150
32991436,2,400
32991436,3,50
32991436,5,360
32991437,1,600
32991437,2,450
32991437,3,250
32991437,5,120
32991437,7,50
32991438,1,50
32991438,2,800
32991438,3,100
32991438,5,160
32991439,1,250
32991439,2,250
